날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,14320,14460,14210,14390,22067,0.4888268156424581
2023-12-06,14390,14410,14310,14330,9649,-0.4169562195969423
2023-12-07,14330,14330,14170,14220,16054,-0.7676203768318213
2023-12-08,14170,14260,14000,14100,27226,-0.8438818565400843
2023-12-11,14250,14250,14100,14170,7972,0.4964539007092199
2023-12-12,14180,14250,14100,14180,11722,0.07057163020465773
2023-12-13,14180,14220,14150,14190,14059,0.07052186177715092
2023-12-14,14190,14210,14160,14170,23415,-0.14094432699083861
2023-12-15,14180,14250,14160,14250,46165,0.5645730416372619
2023-12-18,14250,14310,14220,14270,29863,0.14035087719298245
2023-12-19,14290,14300,14190,14270,36627,0.0
2023-12-20,14290,14430,14280,14400,78925,0.9110021023125439
2023-12-21,14400,14420,14340,14410,80989,0.06944444444444445
2023-12-22,14390,14420,14360,14390,49517,-0.13879250520471895
2023-12-26,14400,14430,14360,14410,195045,0.13898540653231412
2023-12-27,13880,13900,13800,13860,83394,-3.816793893129771
2023-12-28,13930,13940,13770,13940,23935,0.5772005772005772
2024-01-02,13930,13980,13820,13910,29014,-0.2152080344332855
2024-01-03,13880,13910,13800,13890,32590,-0.14378145219266716
2024-01-04,13770,13950,13570,13580,70950,-2.2318214542836574
2024-01-05,13930,13930,13580,13650,27071,0.5154639175257731
2024-01-08,13750,13750,13530,13640,17002,-0.07326007326007326
2024-01-09,13720,13720,13600,13630,7982,-0.07331378299120235
2024-01-10,13680,13710,13570,13700,15394,0.5135730007336757
2024-01-11,13700,13820,13680,13700,9202,0.0
2024-01-12,13660,13730,13660,13670,7906,-0.21897810218978103
2024-01-15,13620,13700,13620,13650,7964,-0.1463057790782736
2024-01-16,13670,13700,13630,13650,9521,0.0
2024-01-17,13670,13670,13400,13410,45672,-1.7582417582417582
2024-01-18,13490,13510,13340,13360,31414,-0.37285607755406414
2024-01-19,13420,13540,13360,13360,24390,0.0
2024-01-22,13400,13420,13280,13310,39078,-0.37425149700598803
2024-01-23,13320,13350,13270,13310,56037,0.0
2024-01-24,13450,13450,13280,13350,26169,0.30052592036063114
2024-01-25,13310,13410,13280,13380,51305,0.22471910112359553
2024-01-26,13300,13500,13300,13380,34334,0.0
2024-01-29,13390,13790,13390,13700,74818,2.391629297458894
2024-01-30,13780,14050,13710,13980,171626,2.0437956204379564
2024-01-31,14000,14020,13830,13980,66360,0.0
2024-02-01,13910,14890,13910,14820,334443,6.008583690987124
2024-02-02,14850,15180,14720,15080,228040,1.7543859649122806
2024-02-05,15060,15200,14680,15040,137636,-0.2652519893899204
2024-02-06,15040,15040,14650,14720,53174,-2.127659574468085
2024-02-07,14730,15450,14680,15450,282046,4.959239130434782
2024-02-08,15450,15480,15190,15320,59804,-0.8414239482200648
2024-02-13,15360,15500,15060,15300,96370,-0.13054830287206268
2024-02-14,15290,15290,15010,15020,84485,-1.8300653594771243
2024-02-15,15020,15050,14700,14710,61908,-2.0639147802929427
2024-02-16,14790,15020,14630,15020,58164,2.107409925220938
2024-02-19,14920,15630,14900,15600,207004,3.861517976031957
2024-02-20,15610,15630,15260,15540,73112,-0.38461538461538464
2024-02-21,15540,15630,15350,15400,28606,-0.9009009009009009
2024-02-22,15410,15450,15060,15240,60869,-1.0389610389610389
2024-02-23,15360,15560,15150,15530,88376,1.9028871391076114
2024-02-26,15330,15330,14700,15020,136546,-3.2839665164198326
2024-02-27,15090,15090,14900,15020,46860,0.0
2024-02-28,15020,15550,14910,15300,90605,1.8641810918774968
2024-02-29,15200,15280,14970,15000,97988,-1.9607843137254901
2024-03-04,15010,15240,14990,15150,42432,1.0
2024-03-05,15140,15230,15000,15060,36716,-0.594059405940594
2024-03-06,15070,15260,14970,15050,52029,-0.06640106241699867
2024-03-07,15010,15210,14970,15210,37631,1.06312292358804
2024-03-08,15270,15270,15160,15240,37787,0.19723865877712032
2024-03-11,15230,15230,15000,15040,24440,-1.3123359580052494
