날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,20900,21700,20350,20850,234254,-1.650943396226415
2023-12-06,19000,20600,17030,19970,2521943,-4.220623501199041
2023-12-07,19580,20100,18950,19020,450402,-4.757135703555333
2023-12-08,19360,19690,19020,19530,424518,2.6813880126182967
2023-12-11,19880,20500,19530,19890,585301,1.8433179723502304
2023-12-12,19880,19880,19100,19650,333291,-1.206636500754148
2023-12-13,19390,19440,19050,19190,258169,-2.340966921119593
2023-12-14,19590,19850,18930,19200,421890,0.05211047420531526
2023-12-15,19410,19550,19050,19470,375176,1.40625
2023-12-18,19610,19670,19320,19560,358940,0.46224961479198773
2023-12-19,19560,19560,18610,18910,543642,-3.3231083844580773
2023-12-20,19020,19070,18180,18340,639679,-3.0142781597038604
2023-12-21,18180,18690,18000,18470,330010,0.7088331515812432
2023-12-22,18710,18710,18200,18250,246878,-1.1911207363291825
2023-12-26,18250,18370,17610,17790,324371,-2.5205479452054798
2023-12-27,17830,18340,17710,18040,295935,1.405283867341203
2023-12-28,18040,18280,17620,18250,263537,1.164079822616408
2024-01-02,18440,18870,18250,18500,322509,1.36986301369863
2024-01-03,18500,18500,17980,18090,197921,-2.2162162162162162
2024-01-04,17900,18050,17500,17560,328016,-2.9297954671089
2024-01-05,17560,22800,16800,21400,7362332,21.867881548974943
2024-01-08,20500,20950,19720,20400,2139307,-4.672897196261682
2024-01-09,20550,23700,20000,22200,7017750,8.823529411764707
2024-01-10,22600,23450,21800,23000,2658676,3.6036036036036037
2024-01-11,23350,23500,21900,21900,1276825,-4.782608695652174
2024-01-12,21950,23650,21950,22550,2412587,2.968036529680365
2024-01-15,22550,22750,21100,21250,949351,-5.764966740576496
2024-01-16,21300,24350,21150,24150,5152105,13.647058823529413
2024-01-17,23650,23700,22500,22900,1718540,-5.175983436853002
2024-01-18,22800,23250,21850,22950,1048158,0.21834061135371177
2024-01-19,23250,24200,22500,23000,1325934,0.2178649237472767
2024-01-22,23250,23500,22100,23200,864415,0.8695652173913043
2024-01-23,23150,23150,21850,21900,648676,-5.603448275862069
2024-01-24,21700,22300,21100,21300,535224,-2.73972602739726
2024-01-25,21100,21150,19800,19960,854710,-6.291079812206572
2024-01-26,19690,20600,19340,19890,448988,-0.35070140280561124
2024-01-29,19930,19930,18520,18820,613049,-5.379587732528909
2024-01-30,18900,19100,18150,18370,358273,-2.3910733262486716
2024-01-31,18300,19860,18150,18800,552818,2.340772999455634
2024-02-01,18660,19840,18660,19830,519676,5.4787234042553195
2024-02-02,20350,20350,19500,19600,387779,-1.1598587997982854
2024-02-05,19800,20350,19360,20200,385616,3.061224489795918
2024-02-06,20000,20100,19220,19610,238000,-2.920792079207921
2024-02-07,19500,19740,19310,19310,174768,-1.5298317185109638
2024-02-08,20200,20300,19520,19690,356452,1.9678922837907822
2024-02-13,19700,20700,19530,20350,394361,3.35195530726257
2024-02-14,19900,20800,19600,20350,421924,0.0
2024-02-15,20600,20600,19940,20100,240711,-1.2285012285012284
2024-02-16,20200,20300,19650,19780,259820,-1.5920398009950247
2024-02-19,19720,20100,19550,19700,199328,-0.40444893832153694
2024-02-20,19950,21400,19800,21050,1230141,6.852791878172589
2024-02-21,21050,21500,20400,20800,575564,-1.187648456057007
2024-02-22,20900,21400,20350,21300,459082,2.403846153846154
2024-02-23,21300,21300,20350,21000,335781,-1.4084507042253522
2024-02-26,21200,21700,20600,21200,533961,0.9523809523809524
2024-02-27,21500,21550,20300,20500,473726,-3.30188679245283
2024-02-28,20350,20750,20000,20050,256829,-2.195121951219512
2024-02-29,19850,20000,19350,19500,282274,-2.7431421446384037
2024-03-04,19510,20400,19510,19930,249047,2.205128205128205
2024-03-05,20400,22250,20350,21850,2230174,9.63371801304566
2024-03-06,21500,21550,20500,21250,535085,-2.745995423340961
2024-03-07,21400,21600,19850,20250,597027,-4.705882352941177
2024-03-08,20250,21700,20050,21600,684162,6.666666666666667
2024-03-11,21550,21950,21000,21650,488159,0.23148148148148145
2024-03-12,21700,22150,21100,21800,577627,0.6928406466512702
2024-03-13,21800,22450,21500,22100,764144,1.3761467889908259
2024-03-14,22600,22600,21450,21900,608307,-0.904977375565611
2024-03-15,21950,22400,20950,21300,731625,-2.73972602739726
2024-03-18,21150,21600,20800,21550,367309,1.1737089201877933
2024-03-19,21750,22500,21450,22150,761166,2.784222737819025
2024-03-20,22400,22450,21500,21650,290301,-2.2573363431151243
2024-03-21,21900,22000,21400,21700,304626,0.23094688221709006
2024-03-22,21850,22300,21200,21350,518210,-1.6129032258064515
2024-03-25,21600,21600,20000,20750,403161,-2.810304449648712
2024-03-26,20700,20700,20000,20400,424568,-1.6867469879518073
2024-03-27,20500,20850,20100,20500,302184,0.49019607843137253
2024-03-28,20850,20900,20250,20700,220998,0.975609756097561
2024-03-29,20900,21900,20800,21800,649642,5.314009661835748
2024-04-01,21650,22800,21200,22450,975671,2.981651376146789
2024-04-02,22450,22450,20800,20850,682344,-7.126948775055679
2024-04-03,21000,21450,20450,20900,333098,0.2398081534772182
2024-04-04,21250,21250,20600,20900,254173,0.0
2024-04-05,20800,22350,20800,21150,636738,1.1961722488038278
